id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-mornington,Mornington,VIC,-38.22808237899997,145.06122347956838,25759,7.4,1451,400,26.0,66.7,Australia,74.0,England,8.9,New Zealand,1.5,Scotland,1.3,0.3,0.0,0.6,55.2,0.4,1.9,22.4,2–4 min,4–10 min,2–4 min,0–2 min,1,More affordable incomes + Lower-rent,Blairgowrie; Dromana; Rye,2021
vic-mount-burnett,Mount Burnett,VIC,-37.97570484899995,145.5109691468923,180,4.0,2166,200,25.0,100.0,Australia,75.0,England,3.3,,,,,0.0,0.0,0.0,64.0,0.0,0.0,23.3,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Nutfield; Hmas Cerberus; Arthurs Creek,2021
vic-mount-cottrell,Mount Cottrell,VIC,-37.79325746699996,144.63400008008935,496,-12.8,1542,462,37.7,77.9,Australia,62.3,Malta,9.7,Lebanon,4.6,India,2.6,0.0,0.0,0.0,59.6,0.0,2.2,16.9,4–10 min,10–30 min,4–10 min,4–10 min,6,Share / non-family households + More affordable incomes,Knoxfield; Bulleen; Keilor Park,2021
vic-mount-dandenong,Mount Dandenong,VIC,-37.83668354449998,145.35136325483523,1271,1.6,2055,415,22.0,76.7,Australia,78.0,England,7.6,Netherlands,1.3,Germany,0.9,0.0,0.0,0.6,50.5,0.0,0.9,29.8,2–4 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Greensborough; Kalorama; Frankston South,2021
vic-mount-eliza,Mount Eliza,VIC,-38.19363470899995,145.09573734225438,18734,4.7,2547,512,25.5,82.2,Australia,74.5,England,9.3,New Zealand,1.4,Scotland,1.0,0.4,0.0,0.2,45.9,0.1,1.0,34.5,2–4 min,4–10 min,2–4 min,2–4 min,9,Higher-income + Family-oriented,Warrandyte; Croydon Hills; Oaklands Junction,2021
vic-mount-evelyn,Mount Evelyn,VIC,-37.78687683649997,145.38538704908734,9799,1.0,2045,365,14.4,80.1,Australia,85.6,England,4.8,Netherlands,1.2,New Zealand,1.0,0.3,0.0,0.4,57.8,0.2,0.7,21.0,2–4 min,4–10 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Wandin North; Montrose; Seville East,2021
vic-mount-martha,Mount Martha,VIC,-38.27375381799996,145.0322627366769,19846,7.0,2097,496,23.6,78.2,Australia,76.4,England,8.8,New Zealand,1.3,Scotland,1.2,0.0,0.0,0.2,52.4,0.4,1.0,26.7,2–4 min,4–10 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Balnarring; Chirnside Park; Strathmore Heights,2021
vic-mount-toolebewong,Mount Toolebewong,VIC,-37.71397837199996,145.56255255981955,119,-15.0,1375,280,28.6,62.8,Australia,71.4,England,6.7,New Zealand,5.9,Germany,4.2,0.0,0.0,0.0,57.9,0.0,0.0,31.6,4–10 min,10–30 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,East Warburton; Warburton; Millgrove,2021
vic-mount-waverley,Mount Waverley,VIC,-37.87863099299997,145.12845448165302,35340,5.1,2066,476,50.8,77.0,Australia,49.2,China,13.0,India,6.1,Sri Lanka,4.2,2.6,0.1,0.6,42.6,0.4,0.9,35.6,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Vermont South; Wantirna South; Balwyn,2021
vic-mulgrave,Mulgrave,VIC,-37.921452982999966,145.16538987868202,19889,2.7,1913,430,49.7,78.9,Australia,50.3,China,6.2,India,5.2,Sri Lanka,5.0,0.9,0.0,1.0,52.7,0.2,0.8,27.1,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Wantirna South; Oakleigh South; Burnside,2021
vic-murrumbeena,Murrumbeena,VIC,-37.89629408999994,145.0706057228154,9996,0.7,2057,386,36.9,65.2,Australia,63.1,India,5.8,China,4.0,Greece,2.2,4.5,0.1,0.8,36.1,0.8,1.8,39.0,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Pascoe Vale; Ormond; Hampton East,2021
vic-nangana,Nangana,VIC,-37.87401460749996,145.5370389476836,54,22.7,1875,370,24.1,64.7,Australia,75.9,England,5.6,,,,,0.0,0.0,0.0,33.3,0.0,0.0,20.8,4–10 min,10–30 min,10–30 min,4–10 min,6,Share / non-family households + More affordable incomes,Bonbeach; Watsonia; Airport West,2021
vic-nar-nar-goon,Nar Nar Goon,VIC,-38.11396313149996,145.5753983961908,1023,1.1,1664,305,19.3,76.1,Australia,80.7,England,3.8,India,1.8,New Zealand,1.4,0.6,0.0,0.0,54.8,0.0,1.8,21.0,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Garfield; Koo Wee Rup; Whittlesea,2021
vic-nar-nar-goon-north,Nar Nar Goon North,VIC,-38.02928087799998,145.56366293464103,819,12.7,2116,361,22.3,85.0,Australia,77.7,England,3.2,New Zealand,1.1,Germany,0.7,1.0,0.0,0.0,59.7,0.0,2.9,20.8,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Eden Park; Belgrave Heights; Avonsleigh,2021
vic-narre-warren,Narre Warren,VIC,-38.02048857799997,145.30050109456639,27689,4.0,1741,360,44.2,78.3,Australia,55.8,India,4.9,Sri Lanka,3.8,Afghanistan,3.5,1.4,0.0,0.6,61.1,0.1,0.5,18.0,2–4 min,10–30 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Epping; Mill Park; Hoppers Crossing,2021
vic-narre-warren-east,Narre Warren East,VIC,-37.96226986399995,145.3582046823768,434,3.6,2550,565,18.0,84.2,Australia,82.0,China,3.0,England,2.1,Canada,1.4,0.0,0.0,0.0,56.4,0.0,1.2,25.3,2–4 min,10–30 min,4–10 min,2–4 min,9,Higher-income + Family-oriented,North Warrandyte; Mount Eliza; Croydon Hills,2021
vic-narre-warren-north,Narre Warren North,VIC,-37.984267639999956,145.3152699749533,8033,4.7,2634,410,33.9,91.1,Australia,66.1,England,2.8,China,2.6,Afghanistan,2.5,0.5,0.0,0.1,59.3,0.1,0.4,22.7,2–4 min,10–30 min,2–4 min,2–4 min,9,Higher-income + Family-oriented,Lysterfield; Botanic Ridge; Oaklands Junction,2021
vic-narre-warren-south,Narre Warren South,VIC,-38.04975215199997,145.30086798083232,30909,1.9,2158,401,43.7,88.6,Australia,56.3,Afghanistan,7.7,India,5.6,Sri Lanka,3.6,1.2,0.0,0.4,60.0,0.1,0.4,18.3,2–4 min,10–30 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Clyde; Caroline Springs; Fraser Rise,2021
vic-newport,Newport,VIC,-37.84546838299997,144.87960519448956,13658,5.7,2657,471,26.0,75.4,Australia,74.0,England,3.7,New Zealand,2.4,India,1.1,3.1,0.0,0.3,34.3,1.0,1.2,42.9,0–2 min,4–10 min,2–4 min,0–2 min,5,Higher-income + Higher-rent,Surrey Hills; Hampton; Kew East,2021
vic-niddrie,Niddrie,VIC,-37.73975276099995,144.8865299045425,5901,7.7,2213,432,24.0,73.0,Australia,76.0,Italy,2.4,England,2.0,India,1.7,1.3,0.7,0.3,46.5,0.3,1.2,30.7,2–4 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Pascoe Vale South; Rosanna; Parkdale,2021
vic-noble-park,Noble Park,VIC,-37.96615785199995,145.17771882388027,32257,4.1,1382,341,65.8,68.2,Australia,34.2,Vietnam,10.5,India,9.8,Cambodia,7.1,3.5,0.0,1.1,59.7,0.3,0.9,13.3,2–4 min,4–10 min,2–4 min,0–2 min,3,Culturally diverse + More affordable incomes,Doveton; Springvale; Dandenong,2021
